date,open,high,low,close,TR,ATR,NATR,CHOP
2015.04.20,1.08178,1.08195,1.07124,1.07372,,,,
2015.04.21,1.07369,1.07808,1.06598,1.07346,0.0121,,,
2015.04.22,1.0735,1.08006,1.07084,1.07232,0.009220000000000006,,,
2015.04.23,1.07233,1.08456,1.06659,1.08236,0.01797000000000004,,,
2015.04.24,1.08228,1.08996,1.07848,1.08667,0.011479999999999935,,,
2015.04.27,1.08613,1.09262,1.08193,1.08894,0.010689999999999866,,,
2015.04.28,1.08895,1.09908,1.086,1.09802,0.01307999999999998,,,
2015.04.29,1.09801,1.11877,1.09595,1.11275,0.022820000000000062,,,
2015.04.30,1.11279,1.1266,1.10712,1.12235,0.019479999999999942,,,
2015.05.01,1.12239,1.12899,1.11747,1.11937,0.011519999999999975,,,
2015.05.04,1.11887,1.12243,1.11226,1.11448,0.010170000000000012,,,
2015.05.05,1.11442,1.12227,1.10663,1.11848,0.0156400000000001,,,
2015.05.06,1.11846,1.13699,1.11747,1.13465,0.019519999999999982,,,
2015.05.07,1.13468,1.13916,1.12371,1.1265,0.015449999999999964,,,
2015.05.08,1.12651,1.12871,1.11788,1.1209,0.010830000000000117,0.014283571428571427,0.012742948905853712,
2015.05.11,1.11988,1.12057,1.11308,1.11547,0.007489999999999997,0.013954285714285712,0.012509781270931278,
2015.05.12,1.11546,1.12786,1.11343,1.12126,0.014430000000000165,0.014326428571428582,0.012777079866782533,
2015.05.13,1.12126,1.13824,1.12023,1.13532,0.01800999999999986,0.014329285714285711,0.012621362888247991,
2015.05.14,1.13531,1.14444,1.13405,1.14089,0.0103899999999999,0.014251428571428566,0.012491500996089516,
2015.05.15,1.1409,1.14666,1.1324,1.14437,0.01425999999999994,0.014506428571428571,0.012676344688718307,
2015.05.18,1.1447,1.14487,1.12984,1.13131,0.015030000000000099,0.014645714285714293,0.012945801138250605,
2015.05.19,1.13131,1.13261,1.11185,1.11492,0.02075999999999989,0.014498571428571425,0.01300413610713901,
2015.05.20,1.11514,1.11519,1.1062,1.10926,0.008989999999999831,0.013749285714285702,0.012395007224893806,
2015.05.21,1.10925,1.11812,1.10794,1.11111,0.010180000000000078,0.013653571428571423,0.012288226573940854,
2015.05.22,1.11115,1.12081,1.1002,1.10091,0.020610000000000017,0.01439928571428571,0.013079439476692654,
2015.05.25,1.1003,1.10091,1.0959,1.09774,0.005009999999999959,0.013639999999999985,0.01242552881374459,
2015.05.26,1.09767,1.09805,1.08631,1.08709,0.011739999999999862,0.01308428571428569,0.01203606482838191,
2015.05.27,1.08715,1.09289,1.0819,1.09027,0.010989999999999833,0.012765714285714254,0.011708764146233733,4.027754478491518
2015.05.28,1.09026,1.09585,1.08672,1.09465,0.009130000000000082,0.012644285714285679,0.011550984985416051,4.078242041559768
2015.05.29,1.09464,1.10058,1.09256,1.09911,0.008019999999999916,0.012682142857142817,0.011538556520405434,3.6633455970357707
2015.06.01,1.09809,1.09882,1.0887,1.09246,0.010119999999999907,0.012374285714285655,0.011326992031090983,4.289487230656961
2015.06.02,1.09246,1.1193,1.09155,1.11487,0.02774999999999994,0.013069999999999946,0.011723339940979616,1.6269968709485474
2015.06.03,1.11484,1.1285,1.1079,1.12727,0.02059999999999995,0.013799285714285665,0.012241331459442428,-0.8345963292492802
2015.06.04,1.12727,1.13797,1.12223,1.12374,0.015739999999999865,0.013904999999999945,0.012373858721768332,-1.3040796656051965
2015.06.05,1.12372,1.12798,1.10492,1.11083,0.02306000000000008,0.014478571428571372,0.013034011890722588,-3.0979936578908887
2015.06.08,1.10969,1.13067,1.10843,1.12906,0.022240000000000038,0.01458428571428567,0.012917192810201114,-3.394220634241911
